"sensor_id","building","address","gfstandard_id","acronym_n","error","created_at","reference_date"
321,157,Alfred-Randt-Str. 20,6,e_hw(n)_hm,No values greater than 0.,2025-05-02 19:36:11.708 +0200,2025-03-31 23:59:59.000
323,182,Breitkopfstr. 101,5,e_hc(n)_hm,Data is empty.,2025-05-02 19:37:11.757 +0200,2025-03-31 23:59:59.000
16731,769,Persantestr. 21,128,v_b(n)_gm,Series cannot be transformed to be monotonic increasing. Deleting data.,2025-05-03 08:50:39.974 +0200,2025-03-31 23:59:59.000
16825,798,WIE 216-1; Zeiler Weg 36,133,v_g_gm,No values greater than 0.,2025-05-03 08:53:59.154 +0200,2025-03-31 23:59:59.000
16855,800,WIE 216-3; Prenzl. Prom. 121,133,v_g_gm,No values greater than 0.,2025-05-03 08:55:06.438 +0200,2025-03-31 23:59:59.000
16868,537,Am Steinberg 37,400,eel_hp(n)_em_supply_act,Series cannot be transformed to be monotonic increasing. Deleting data.,2025-05-03 08:57:19.474 +0200,2025-03-31 23:59:59.000
355,145,Götelstr. 99,6,e_hw(n)_hm,No values greater than 0.,2025-05-02 19:49:33.083 +0200,2025-03-31 23:59:59.000
353,136,Lincolnstr. 60,6,e_hw(n)_hm,No values greater than 0.,2025-05-02 19:47:29.962 +0200,2025-03-31 23:59:59.000
354,145,Götelstr. 99,4,e_g_hm,No complete data. ,2025-05-02 19:48:32.922 +0200,2025-03-31 23:59:59.000
361,220,Breitkopfstr. 119,5,e_hc(n)_hm,Data is empty.,2025-05-02 19:51:35.416 +0200,2025-03-31 23:59:59.000
21675,698,Platz vor dem Neuen Tor 1,5,e_hc(n)_hm,No values greater than 0.,2025-05-03 10:35:59.924 +0200,2025-03-31 23:59:59.000
387,180,Stolzenhagener Str. 7,4,e_g_hm,Data is empty.,2025-05-02 19:58:46.175 +0200,2025-03-31 23:59:59.000
394,129,Grünrockweg 8,133,v_g_gm,Data is empty.,2025-05-02 20:01:49.738 +0200,2025-03-31 23:59:59.000
18175,787,An den Hubertshäusern 23,128,v_b(n)_gm,Series cannot be transformed to be monotonic increasing. Deleting data.,2025-05-03 09:15:03.387 +0200,2025-03-31 23:59:59.000
424,169,Poelchaustr. 32,6,e_hw(n)_hm,Data is empty.,2025-05-02 20:07:58.170 +0200,2025-03-31 23:59:59.000
23421,1360,"Kirschanger 4, Schwielowsee - Technikzentrale 1",5,e_hc(n)_hm,No values greater than 0.,2025-05-03 11:50:14.469 +0200,2025-03-31 23:59:59.000
23431,1360,"Kirschanger 4, Schwielowsee - Technikzentrale 1",2,e_chp(n)_hm,No values greater than 0.,2025-05-03 11:53:17.111 +0200,2025-03-31 23:59:59.000
23441,1360,"Kirschanger 4, Schwielowsee - Technikzentrale 1",2,e_chp(n)_hm,No values greater than 0.,2025-05-03 11:56:23.448 +0200,2025-03-31 23:59:59.000
23446,1360,"Kirschanger 4, Schwielowsee - Technikzentrale 1",2,e_chp(n)_hm,No values greater than 0.,2025-05-03 11:57:58.917 +0200,2025-03-31 23:59:59.000
23471,1361,"Kirschanger 2, Schwielowsee - Unterstation Haus A Nord",5,e_hc(n)_hm,No values greater than 0.,2025-05-03 12:02:51.710 +0200,2025-03-31 23:59:59.000
23481,1361,"Kirschanger 2, Schwielowsee - Unterstation Haus A Nord",5,e_hc(n)_hm,No values greater than 0.,2025-05-03 12:06:04.364 +0200,2025-03-31 23:59:59.000
23500,1362,"Kirschanger 4, Schwielowsee - Unterstation Haus A Süd",5,e_hc(n)_hm,No values greater than 0.,2025-05-03 12:09:11.344 +0200,2025-03-31 23:59:59.000
23436,1360,"Kirschanger 4, Schwielowsee - Technikzentrale 1",2,e_chp(n)_hm,No values greater than 0.,2025-05-03 11:54:50.248 +0200,2025-03-31 23:59:59.000
25797,1864,Lommenweg 10,128,v_b(n)_gm,No complete data. ,2025-05-03 13:05:17.325 +0200,2025-03-31 23:59:59.000
25331,1729,Sigmaringer Str. 13,128,v_b(n)_gm,No values greater than 0.,2025-05-03 12:47:41.707 +0200,2025-03-31 23:59:59.000
25913,1559,Zschopauer Straße 142,128,v_b(n)_gm,No values greater than 0.,2025-05-03 13:11:00.302 +0200,2025-03-31 23:59:59.000
26478,1675,"Landskroner Weg 25, versorgt Landskroner Weg 23,25",128,v_b(n)_gm,No values greater than 0.,2025-05-03 13:38:56.006 +0200,2025-03-31 23:59:59.000
27796,653,"Hartengrube 5, 7/9, 11",133,v_g_gm,No values greater than 0.,2025-05-03 14:03:16.451 +0200,2025-03-31 23:59:59.000
20320,781,Jahnstraße 14,128,v_b(n)_gm,No values greater than 0.,2025-05-03 09:49:32.146 +0200,2025-03-31 23:59:59.000
27175,1501,Vastersstr. 23+25,128,v_b(n)_gm,No values greater than 0.,2025-05-03 13:55:32.659 +0200,2025-03-31 23:59:59.000
23053,467,Lüchower Str. 23,128,v_b(n)_gm,No values greater than 0.,2025-05-03 11:33:59.255 +0200,2025-03-31 23:59:59.000
20825,1404,"Halle, Bielefelder Straße 26",400,eel_hp(n)_em_supply_act,No complete data. ,2025-05-03 10:01:39.753 +0200,2025-03-31 23:59:59.000
23406,1360,"Kirschanger 4, Schwielowsee - Technikzentrale 1",5,e_hc(n)_hm,No values greater than 0.,2025-05-03 11:45:37.358 +0200,2025-03-31 23:59:59.000
